Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ESTEIO,10,10,0,510,2,57,309,70,94,18,95,60
ESTRELA,6,7,0,216,8,28,117,16,33,6,27,12
ESTRELA VELHA,0,0,0,2,0,1,0,0,1,0,0,0
EUGENIO DE CASTRO,0,0,0,23,3,2,0,0,0,0,0,0
FAGUNDES VARELA,0,0,0,13,2,0,1,0,1,1,0,0
FARROUPILHA,3,3,0,429,4,98,78,32,64,19,36,25
FAXINAL DO SOTURNO,0,0,0,41,2,2,1,0,2,3,5,0
FAXINALZINHO,0,0,0,9,5,1,0,0,0,3,0,0
FAZENDA VILA NOVA,0,0,0,32,10,2,4,6,3,0,6,1
FELIZ,0,0,0,56,0,1,7,1,10,1,7,0
FLORES DA CUNHA,3,4,3,146,4,22,40,14,33,4,3,2
FLORIANO PEIXOTO,0,0,0,9,0,0,0,0,0,1,0,0
FONTOURA XAVIER,1,1,0,77,8,8,5,0,2,10,1,0
FORMIGUEIRO,0,0,0,48,12,0,3,0,2,20,1,2
FORQUETINHA,0,0,0,7,0,0,1,0,1,1,0,0
FORTALEZA DOS VALOS,0,0,0,19,2,0,0,0,0,1,0,0
FREDERICO WESTPHALEN,1,1,0,170,6,9,17,1,27,8,48,7
GARIBALDI,2,2,0,175,2,29,30,10,15,10,9,10
GARRUCHOS,0,0,0,30,13,0,0,0,0,0,0,0
GAURAMA,0,0,0,19,1,3,0,0,3,1,1,0
GENERAL CAMARA,0,0,0,52,6,1,8,0,4,3,1,2
GENTIL,0,0,0,5,1,1,0,1,0,2,0,0
GETULIO VARGAS,2,2,0,58,4,6,20,1,13,8,19,16
GIRUA,1,1,0,112,8,0,4,0,10,3,10,2
GLORINHA,0,0,0,63,26,0,6,2,3,3,2,0
GRAMADO,5,5,0,240,0,11,17,1,31,6,30,34
GRAMADO DOS LOUREIROS,0,0,0,1,0,0,0,0,2,1,0,0
GRAMADO XAVIER,0,0,0,7,1,1,0,0,0,0,0,0
GRAVATAI,33,37,3,1141,32,229,1159,239,233,51,60,124
GUABIJU,0,0,0,12,2,0,0,0,1,0,0,0
GUAIBA,16,17,1,410,5,30,291,27,72,26,191,55
GUAPORE,3,3,0,127,2,8,10,1,24,3,28,21
GUARANI DAS MISSOES,0,0,0,56,2,0,4,0,2,1,1,0
HARMONIA,0,0,0,5,0,0,1,4,1,2,0,0
HERVAL,0,0,0,73,32,1,1,0,2,0,4,1
HERVEIRAS,0,0,0,5,0,0,1,0,0,1,0,0
HORIZONTINA,0,0,0,135,2,3,3,0,12,2,26,4
HULHA NEGRA,0,0,0,20,3,1,0,0,0,2,5,0
HUMAITA,0,0,0,16,1,0,1,0,2,0,3,2
IBARAMA,0,0,0,20,2,1,2,0,0,2,0,0
IBIACA,0,0,0,28,0,0,0,0,2,1,0,1
IBIRAIARAS,0,0,0,39,1,0,4,0,1,5,5,0
IBIRAPUITA,0,0,1,21,4,0,0,0,0,3,1,2
IBIRUBA,1,1,0,81,2,7,7,3,20,3,13,13
IGREJINHA,0,0,0,158,4,11,27,10,22,3,34,14
IJUI,1,1,0,477,14,44,56,5,103,18,44,41
ILOPOLIS,0,0,0,18,0,0,4,0,2,1,2,0
IMBE,4,4,0,426,4,16,100,10,27,14,20,22
IMIGRANTE,0,0,0,5,0,1,0,0,0,1,0,0
INDEPENDENCIA,1,1,0,35,5,4,0,0,0,2,2,3
INHACORA,0,0,0,6,1,0,0,0,1,1,2,0
IPE,0,0,0,36,6,4,2,0,3,1,2,1
IPIRANGA DO SUL,0,0,0,6,1,0,0,2,0,0,0,0
IRAI,1,1,0,51,5,3,1,0,3,2,12,7
ITAARA,0,0,1,27,3,1,1,0,5,0,0,1
ITACURUBI,0,0,0,29,14,0,0,0,3,0,0,0
ITAPUCA,0,0,0,7,2,0,1,0,0,3,0,0
ITAQUI,2,3,0,213,8,5,28,1,22,15,16,20
ITATI,1,2,0,12,3,2,1,0,0,1,0,0
ITATIBA DO SUL,1,1,0,16,1,1,0,0,0,1,0,0
IVORA,0,0,0,6,1,0,0,0,0,1,1,0
IVOTI,1,1,0,55,0,4,19,5,11,0,4,6
JABOTICABA,0,0,0,19,3,1,0,0,3,1,1,0
JACUIZINHO,0,0,0,5,0,0,0,0,1,1,0,0
JACUTINGA,0,0,0,5,2,0,2,0,0,0,1,2
JAGUARAO,2,2,0,310,19,16,40,2,11,3,22,18
JAGUARI,0,0,0,41,3,1,4,0,4,4,2,2
JAQUIRANA,0,0,0,21,3,1,1,0,3,0,1,3
JARI,0,0,0,8,3,0,0,0,0,0,0,0
JOIA,1,1,0,24,4,1,1,0,0,2,0,1
JULIO DE CASTILHOS,2,3,0,103,14,5,15,0,7,3,25,6
LAGOA BONITA DO SUL,0,0,0,9,1,0,0,0,3,1,0,0
LAGOA DOS TRES CANTOS,0,0,0,3,0,0,0,0,0,1,1,0
LAGOA VERMELHA,6,6,0,239,19,5,13,4,23,21,21,17
LAGOAO,0,0,0,20,7,1,1,0,3,5,0,0
LAJEADO,7,10,1,593,5,182,142,57,90,30,22,57
LAJEADO DO BUGRE,0,0,0,8,1,2,1,0,0,0,1,0
LAVRAS DO SUL,0,0,0,36,13,0,0,0,1,5,9,5
LIBERATO SALZANO,0,0,0,17,2,0,0,0,0,1,0,0
LINDOLFO COLLOR,1,1,0,4,0,1,2,0,3,0,1,2
LINHA NOVA,0,0,0,0,0,0,0,0,0,0,0,0
MACAMBARA,0,0,0,18,5,1,0,0,0,2,0,0
MACHADINHO,0,0,0,34,2,0,1,0,3,3,0,0
MAMPITUBA,0,0,0,5,1,0,0,0,1,0,0,0
MANOEL VIANA,0,0,0,18,4,4,0,0,2,2,3,1
MAQUINE,1,1,0,57,10,6,2,1,3,4,3,2
MARATA,0,0,0,2,0,0,0,0,1,5,0,1
MARAU,1,1,1,189,12,20,19,2,32,12,16,5
MARCELINO RAMOS,0,0,0,13,0,1,0,0,1,1,5,1
MARIANA PIMENTEL,0,0,0,20,7,4,4,1,2,4,0,0
MARIANO MORO,0,0,0,5,0,0,0,0,0,1,0,0
MARQUES DE SOUZA,0,0,0,8,1,0,0,1,0,1,0,0
MATA,1,1,0,45,13,2,0,0,0,2,6,0
MATO CASTELHANO,0,0,0,21,4,0,1,3,1,2,0,0
MATO LEITAO,0,0,0,18,1,0,0,0,1,1,4,0
MATO QUEIMADO,0,0,0,0,0,0,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,18,1,1,0,0,0,0,1,0
MINAS DO LEAO,0,0,0,39,7,2,4,1,1,2,0,6
MIRAGUAI,0,0,0,31,5,6,2,0,3,0,0,1
MONTAURI,0,0,0,2,0,0,2,0,0,1,0,1
MONTE ALEGRE DOS CAMPOS,1,1,0,13,2,0,1,0,0,6,0,0
MONTE BELO DO SUL,0,0,0,6,0,1,0,2,1,3,1,0
MONTENEGRO,1,1,0,348,10,25,62,6,53,10,109,44
