Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte,Total de Vitimas de CVLI
SANTANA DO LIVRAMENTO,1,1,0,357,36,22,31,0,159,11,82,20,0,0,2
SANTIAGO,2,2,0,133,12,1,2,0,164,10,65,50,0,0,2
SANTO ANGELO,0,0,0,510,11,29,34,1,186,19,41,51,0,0,0
SANTO ANTONIO DA PATRULHA,1,1,0,130,20,7,13,1,77,4,2,12,0,0,1
SANTO ANTONIO DAS MISSOES,0,0,0,31,2,1,1,0,11,6,15,5,0,0,0
SANTO ANTONIO DO PALMA,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0
SANTO ANTONIO DO PLANALTO,0,0,0,8,3,0,0,0,2,0,1,0,0,0,1
SANTO AUGUSTO,1,1,0,47,2,0,1,0,23,2,11,1,0,0,1
SANTO CRISTO,1,1,0,10,2,0,0,0,14,3,3,2,0,0,1
SANTO EXPEDITO DO SUL,0,0,0,4,2,0,0,0,5,3,0,0,0,0,0
SAO BORJA,1,1,0,188,16,10,16,1,141,10,47,27,0,0,2
SAO DOMINGOS DO SUL,0,0,0,5,3,0,0,0,2,0,1,0,0,0,0
SAO FRANCISCO DE ASSIS,0,0,0,25,8,0,0,0,27,7,4,4,0,0,0
SAO FRANCISCO DE PAULA,0,0,0,78,17,2,7,3,43,2,14,2,0,0,0
SAO GABRIEL,0,0,0,260,25,3,19,0,63,9,12,54,0,0,0
SAO JERONIMO,1,1,0,83,1,1,6,0,39,2,6,8,0,0,1
SAO JOAO DA URTIGA,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0
SAO JOAO DO POLESINE,0,0,0,7,1,0,1,0,1,2,0,0,0,0,0
SAO JORGE,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
SAO JOSE DAS MISSOES,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0
SAO JOSE DO HERVAL,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
SAO JOSE DO HORTENCIO,0,0,0,5,0,0,0,0,18,1,3,0,0,0,0
SAO JOSE DO INHACORA,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0
SAO JOSE DO NORTE,0,0,0,101,9,4,5,0,25,2,10,19,0,0,0
SAO JOSE DO OURO,2,2,0,8,0,1,0,0,13,2,2,0,0,0,2
SAO JOSE DO SUL,0,0,0,3,0,0,0,0,2,1,0,1,0,0,0
SAO JOSE DOS AUSENTES,0,0,1,11,3,0,1,0,8,2,0,2,1,0,0
