Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
NOVA ARACA,0,0,29,2,2,0,3,1,0,9,0,2,0,1
NOVA BASSANO,2,0,101,10,12,0,4,0,0,9,0,4,10,6
NOVA BOA VISTA,0,0,6,1,0,0,0,0,0,0,0,1,0,0
NOVA BRESCIA,0,0,23,3,2,0,0,0,0,0,0,6,1,0
NOVA CANDELARIA,0,0,7,1,0,0,0,0,0,1,0,4,0,0
NOVA ESPERANCA DO SUL,0,0,42,1,3,0,0,0,0,2,0,5,7,3
NOVA HARTZ,1,0,175,15,43,0,6,0,0,17,0,4,29,12
NOVA PADUA,0,0,19,1,1,0,0,0,0,1,0,0,0,0
NOVA PALMA,0,0,69,0,1,0,1,0,0,11,0,2,0,0
NOVA PETROPOLIS,1,0,186,7,8,1,2,1,0,26,2,2,33,7
NOVA PRATA,2,0,244,34,42,0,7,0,0,35,11,14,54,25
NOVA RAMADA,0,0,17,2,0,0,0,0,0,2,0,3,0,0
NOVA ROMA DO SUL,0,0,21,0,3,0,0,0,0,4,0,1,2,0
NOVA SANTA RITA,7,0,408,46,111,1,32,0,0,23,1,12,19,9
NOVO BARREIRO,1,0,28,4,5,0,0,0,0,3,0,2,0,1
NOVO CABRAIS,0,0,25,3,2,0,1,0,0,1,0,2,1,0
NOVO HAMBURGO,54,0,3454,873,2768,2,911,19,2,675,6,185,311,230
NOVO MACHADO,0,0,24,0,0,0,0,0,0,0,0,1,0,1
NOVO TIRADENTES,1,0,8,1,0,0,0,0,0,0,0,0,0,0
NOVO XINGU,0,0,5,0,1,0,0,0,0,1,0,0,0,0
OSORIO,17,0,833,53,165,0,18,2,0,66,2,26,88,70
PAIM FILHO,0,0,30,1,3,0,0,0,0,0,0,8,1,0
PALMARES DO SUL,4,0,289,6,48,1,14,3,0,20,0,5,5,12
PALMEIRA DAS MISSOES,5,0,398,34,53,0,5,0,0,20,0,31,33,15
PALMITINHO,0,0,59,8,4,0,0,1,0,4,0,5,0,0
PANAMBI,5,0,354,28,22,0,4,1,0,51,1,19,15,5
PANTANO GRANDE,0,0,140,5,26,0,1,0,0,3,0,7,15,5
PARAI,0,0,66,6,8,0,6,1,0,5,0,3,4,0
PARAISO DO SUL,0,0,33,2,4,0,1,1,0,1,0,4,2,3
PARECI NOVO,0,0,48,3,6,0,5,0,0,6,0,5,2,3
PAROBE,13,0,528,126,300,0,68,8,3,52,2,25,45,17
PASSA SETE,0,0,64,6,1,0,1,0,0,2,0,7,0,3
PASSO DO SOBRADO,2,0,78,3,6,0,5,1,0,3,0,6,0,0
PASSO FUNDO,36,2,2296,597,1114,6,188,7,0,263,3,185,165,175
PAULO BENTO,0,0,28,2,0,0,0,0,0,2,0,2,0,0
PAVERAMA,0,0,101,2,20,0,3,1,0,4,0,7,1,2
PEDRAS ALTAS,1,0,34,1,0,0,0,0,0,0,0,2,0,0
PEDRO OSORIO,2,0,190,3,22,0,1,0,0,9,0,4,9,1
PEJUCARA,0,0,63,1,5,0,1,0,0,4,0,2,0,1
PELOTAS,66,0,3904,434,3734,10,248,11,0,498,2,233,235,286
PICADA CAFE,0,0,28,1,6,0,1,0,0,0,0,1,5,1
PINHAL,1,0,67,7,5,0,1,0,0,3,0,2,0,2
PINHAL DA SERRA,0,0,28,0,0,0,0,0,0,1,0,3,0,0
PINHAL GRANDE,2,0,38,2,3,0,2,0,0,4,0,3,0,0
PINHEIRINHO DO VALE,0,0,12,0,2,0,0,0,0,1,0,5,0,0
PINHEIRO MACHADO,0,0,217,4,13,0,0,0,0,17,0,9,21,6
PINTO BANDEIRA,0,0,22,1,4,0,1,0,0,0,0,0,0,0
PIRAPO,2,0,36,0,0,0,0,0,0,0,0,4,0,0
PIRATINI,5,0,291,19,22,0,2,1,0,16,0,9,8,6
