Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
PROGRESSO,1,1,0,45,7,0,2,1,15,5,7,2,0,0
PROTASIO ALVES,0,0,0,6,1,0,1,0,8,2,0,0,0,0
PUTINGA,0,0,0,13,1,0,1,0,21,6,7,2,0,0
QUARAI,1,1,0,209,50,10,15,0,84,16,8,22,0,0
QUATRO IRMAOS,0,0,0,4,0,0,0,0,6,4,1,0,0,0
QUEVEDOS,0,0,0,41,23,0,0,0,7,0,0,0,0,0
QUINZE DE NOVEMBRO,0,0,1,21,5,1,0,0,8,4,5,1,1,0
REDENTORA,1,1,0,46,5,5,3,2,16,15,8,5,0,0
RELVADO,0,0,0,13,1,0,0,0,7,0,0,0,0,0
RESTINGA SECA,3,3,0,107,12,5,11,1,78,1,10,7,0,0
RIO DOS INDIOS,0,0,0,23,7,1,0,0,4,5,0,0,0,0
RIO GRANDE,28,28,3,2935,107,114,1318,65,1657,100,128,393,3,2
RIO PARDO,5,6,0,379,48,5,29,1,144,18,72,39,0,0
RIOZINHO,0,0,0,32,1,0,2,0,10,3,6,0,0,0
ROCA SALES,1,1,0,96,1,2,12,1,54,6,21,9,0,0
RODEIO BONITO,2,2,0,27,5,5,0,0,36,2,40,4,0,0
ROLADOR,0,0,0,13,3,1,0,0,6,2,2,1,0,0
ROLANTE,2,2,0,116,9,17,13,6,166,5,42,13,0,0
RONDA ALTA,2,2,0,38,0,5,1,0,52,2,2,11,0,0
RONDINHA,0,0,0,25,6,1,0,0,11,1,0,0,0,0
ROQUE GONZALES,0,0,0,34,7,2,1,0,12,14,13,8,0,0
ROSARIO DO SUL,4,4,0,321,64,12,20,1,201,23,33,73,0,1
SAGRADA FAMILIA,1,1,0,12,0,0,0,1,9,1,0,0,0,0
SALDANHA MARINHO,0,0,0,16,3,1,2,4,7,4,3,0,0,0
SALTO DO JACUI,1,1,0,149,18,2,8,0,142,12,8,2,0,0
SALVADOR DAS MISSOES,0,0,0,6,1,0,0,0,13,2,0,0,0,0
SALVADOR DO SUL,1,1,0,24,0,0,4,1,47,2,14,6,0,0
SANANDUVA,0,0,0,81,3,5,7,0,71,7,8,7,0,0
SANTA BARBARA DO SUL,0,0,0,67,6,5,7,1,58,8,13,7,0,0
SANTA CECILIA DO SUL,0,0,0,15,3,0,0,1,4,2,0,0,0,0
SANTA CLARA DO SUL,0,0,0,46,3,0,3,1,33,4,3,1,0,0
SANTA CRUZ DO SUL,15,15,0,1270,14,88,148,10,1336,60,98,219,0,1
SANTA MARGARIDA DO SUL,0,0,0,39,20,0,0,0,9,3,0,2,0,0
SANTA MARIA,50,55,4,3687,82,156,620,24,3028,239,344,521,4,0
SANTA MARIA DO HERVAL,2,2,0,17,0,0,1,0,22,2,6,0,0,0
SANTA ROSA,10,10,0,895,9,22,51,5,471,66,224,208,0,1
SANTA TEREZA,0,0,0,10,1,0,0,0,7,0,9,1,0,0
SANTA VITORIA DO PALMAR,8,8,0,379,59,13,47,2,193,29,36,98,0,0
SANTANA DA BOA VISTA,2,2,0,63,8,1,1,0,35,6,2,3,0,0
SANTANA DO LIVRAMENTO,6,8,1,934,137,54,81,4,459,56,180,70,1,0
SANTIAGO,1,1,0,327,43,7,11,0,354,30,197,147,0,0
SANTO ANGELO,8,8,0,1132,52,60,106,7,519,67,150,177,0,0
SANTO ANTONIO DA PATRULHA,1,1,0,382,32,35,46,7,215,16,48,46,0,0
SANTO ANTONIO DAS MISSOES,3,3,0,87,21,1,3,1,32,9,50,11,0,0
SANTO ANTONIO DO PALMA,0,0,0,7,0,1,1,0,14,0,1,0,0,0
SANTO ANTONIO DO PLANALTO,0,0,0,10,0,1,0,0,12,3,1,2,0,0
SANTO AUGUSTO,1,1,0,109,4,4,7,0,48,3,29,3,0,0
SANTO CRISTO,2,2,0,37,3,3,0,0,47,5,9,5,0,0
SANTO EXPEDITO DO SUL,1,1,0,14,2,1,0,0,6,9,0,0,0,0
SAO BORJA,7,7,0,488,62,15,35,2,322,22,65,56,0,0
SAO DOMINGOS DO SUL,0,0,0,22,2,2,2,0,13,2,4,3,0,0
SAO FRANCISCO DE ASSIS,0,0,0,105,26,1,8,0,67,14,30,21,0,0
SAO FRANCISCO DE PAULA,3,3,0,313,51,10,19,6,116,26,25,18,0,0
SAO GABRIEL,5,5,0,767,101,17,53,1,253,65,78,209,0,1
SAO JERONIMO,0,0,1,207,15,14,15,2,107,9,40,38,1,0
