Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO MARTINHO,0,27,1,5,0,2,6,3,4,0
SAO MARTINHO DA SERRA,0,40,0,2,0,0,2,2,0,1
SAO MIGUEL DAS MISSOES,1,48,1,3,0,0,5,8,1,1
SAO NICOLAU,0,58,1,1,0,0,3,7,2,1
SAO PAULO DAS MISSOES,0,21,1,1,0,0,4,3,0,0
SAO PEDRO DA SERRA,0,9,1,2,0,0,2,0,3,0
SAO PEDRO DAS MISSOES,0,8,0,1,0,0,0,0,0,0
SAO PEDRO DO BUTIA,0,11,1,1,0,0,5,0,0,0
SAO PEDRO DO SUL,0,238,3,25,0,0,17,15,9,1
SAO SEBASTIAO DO CAI,0,256,13,35,0,17,45,8,125,30
SAO SEPE,3,279,5,36,0,0,36,16,15,18
SAO VALENTIM,0,14,1,1,0,0,5,0,1,0
SAO VALENTIM DO SUL,0,20,2,1,0,0,3,5,4,0
SAO VALERIO DO SUL,0,12,1,0,0,0,0,3,0,0
SAO VENDELINO,0,13,2,3,0,1,4,1,1,0
SAO VICENTE DO SUL,0,95,0,3,0,0,9,7,8,8
SAPIRANGA,11,635,163,195,0,33,130,21,119,32
SAPUCAIA DO SUL,40,1329,261,1132,2,147,251,57,158,148
SARANDI,1,173,9,25,0,1,33,11,23,24
SEBERI,0,66,6,12,0,2,13,11,6,7
SEDE NOVA,0,11,1,0,1,0,3,0,0,0
SEGREDO,0,63,3,1,0,0,3,4,0,0
SELBACH,0,27,1,2,0,0,12,3,3,0
SENADOR SALGADO FILHO,0,20,1,1,0,0,1,6,0,0
SENTINELA DO SUL,0,80,5,6,0,0,2,2,2,0
SERAFINA CORREA,0,86,5,6,0,1,25,2,25,4
SERIO,0,8,0,1,0,0,3,4,0,0
SERTAO,1,52,2,5,0,0,10,4,2,0
SERTAO SANTANA,0,51,1,1,0,0,27,3,3,0
SETE DE SETEMBRO,0,14,1,0,0,0,0,0,0,0
SEVERIANO DE ALMEIDA,0,22,1,0,0,0,8,2,3,0
SILVEIRA MARTINS,0,20,0,1,0,0,5,2,2,1
SINIMBU,2,42,2,10,0,0,15,3,1,0
SOBRADINHO,2,289,6,16,0,0,27,10,15,17
SOLEDADE,6,472,27,43,0,2,61,33,63,32
TABAI,1,40,6,6,0,4,5,1,0,2
TAPEJARA,2,216,17,20,0,3,44,10,22,18
TAPERA,3,91,7,14,0,3,7,11,5,13
TAPES,8,293,15,51,2,3,23,5,15,7
TAQUARA,6,536,85,114,3,52,109,21,51,57
TAQUARI,2,216,10,13,1,10,53,11,25,4
