Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
NAO-ME-TOQUE,0,111,17,22,0,3,28,10,4,15
NICOLAU VERGUEIRO,0,12,1,0,0,1,1,3,2,2
NONOAI,1,100,9,5,0,2,14,10,9,2
NOVA ALVORADA,0,17,0,11,0,0,4,4,2,0
NOVA ARACA,2,14,2,3,1,0,6,0,0,0
NOVA BASSANO,0,52,7,5,0,2,12,3,9,0
NOVA BOA VISTA,0,6,0,0,0,0,1,0,0,0
NOVA BRESCIA,1,15,1,2,0,0,3,4,3,1
NOVA CANDELARIA,1,6,0,0,0,0,4,0,0,1
NOVA ESPERANCA DO SUL,0,19,1,2,0,0,2,1,5,1
NOVA HARTZ,0,103,1,17,0,3,42,7,21,14
NOVA PADUA,0,12,3,0,0,0,2,0,1,0
NOVA PALMA,0,35,0,7,0,0,12,1,0,0
NOVA PETROPOLIS,1,109,3,5,0,2,59,3,24,11
NOVA PRATA,4,136,15,7,0,0,38,9,22,18
NOVA RAMADA,0,9,0,0,0,0,5,2,0,0
NOVA ROMA DO SUL,1,11,0,0,0,0,6,0,2,0
NOVA SANTA RITA,4,239,21,39,0,7,64,14,25,13
NOVO BARREIRO,0,11,4,0,0,0,1,0,0,0
NOVO CABRAIS,0,20,1,5,0,0,7,1,0,0
NOVO HAMBURGO,46,2414,560,1399,4,508,659,101,211,155
NOVO MACHADO,1,17,0,0,0,0,0,5,0,0
NOVO TIRADENTES,0,16,0,0,0,0,0,0,2,0
NOVO XINGU,0,7,0,0,0,0,0,1,0,0
OSORIO,7,617,45,76,0,8,140,15,72,60
PAIM FILHO,0,25,0,1,0,0,3,3,0,0
PALMARES DO SUL,2,152,5,13,0,6,21,3,6,9
PALMEIRA DAS MISSOES,2,296,19,28,0,3,47,15,27,41
PALMITINHO,0,28,6,1,0,0,8,2,4,0
PANAMBI,1,279,16,14,0,2,92,13,12,10
PANTANO GRANDE,0,68,1,11,0,1,7,6,10,5
PARAI,0,23,4,1,0,2,16,2,5,3
PARAISO DO SUL,0,32,0,2,0,0,4,1,1,0
PARECI NOVO,0,24,1,1,0,0,7,1,2,3
PAROBE,7,289,69,96,0,43,96,26,32,27
PASSA SETE,0,34,1,2,0,0,2,2,0,0
PASSO DO SOBRADO,0,36,1,5,0,1,4,0,0,0
PASSO FUNDO,22,1746,306,644,1,99,491,138,189,143
PAULO BENTO,0,21,2,1,0,0,1,2,0,0
PAVERAMA,1,36,2,6,0,3,9,3,3,2
PEDRAS ALTAS,0,56,1,1,0,0,0,0,1,0
PEDRO OSORIO,1,91,3,10,0,1,5,4,9,3
PEJUCARA,0,33,0,1,0,1,3,3,1,3
PELOTAS,44,2805,388,1973,7,127,846,180,134,177
PICADA CAFE,0,29,1,2,0,0,9,0,1,0
PINHAL,0,15,2,1,0,0,1,2,1,1
PINHAL DA SERRA,1,13,0,0,0,0,3,6,0,0
PINHAL GRANDE,2,22,1,1,0,0,8,1,0,0
PINHEIRINHO DO VALE,0,5,3,1,0,0,1,4,0,1
PINHEIRO MACHADO,0,114,1,10,0,0,17,4,5,8
PINTO BANDEIRA,0,5,0,2,0,0,4,0,0,0
PIRAPO,0,27,0,0,0,0,0,1,0,0
PIRATINI,1,152,11,7,0,1,16,9,4,6
PLANALTO,4,65,1,7,0,0,4,5,9,0
POCO DAS ANTAS,0,3,0,0,0,0,2,0,0,0
PONTAO,1,23,1,3,0,2,6,4,0,0
PONTE PRETA,0,12,0,0,0,0,0,4,1,0
PORTAO,9,273,57,80,1,37,74,12,19,15
PORTO ALEGRE,327,21803,2196,17904,14,4478,5968,610,877,1745
PORTO LUCENA,0,22,0,0,0,0,0,5,0,0
PORTO MAUA,1,19,0,0,0,0,2,0,1,2
PORTO VERA CRUZ,0,12,0,0,0,0,2,1,0,0
PORTO XAVIER,2,54,3,5,0,0,6,8,9,3
POUSO NOVO,0,24,2,1,0,1,3,1,0,0
PRESIDENTE LUCENA,0,18,2,1,0,0,1,0,5,2
PROGRESSO,0,29,0,0,0,0,5,5,1,1
PROTASIO ALVES,0,6,0,0,0,0,3,3,0,0
PUTINGA,0,23,1,1,0,0,7,6,1,0
QUARAI,2,233,12,13,0,0,21,9,15,12
QUATRO IRMAOS,0,8,0,1,0,0,1,5,1,0
QUEVEDOS,0,12,3,1,0,0,0,1,0,0
QUINZE DE NOVEMBRO,0,21,0,1,0,1,3,4,1,0
REDENTORA,1,37,8,4,0,1,5,11,3,0
RELVADO,0,16,0,1,0,0,0,0,0,0
RESTINGA SECA,0,117,4,10,1,1,19,3,5,5
RIO DOS INDIOS,0,22,3,2,0,0,1,2,0,0
RIO GRANDE,29,1992,153,1358,3,47,432,107,140,220
RIO PARDO,5,262,27,30,0,1,27,10,40,23
RIOZINHO,0,30,1,1,0,0,4,1,1,0
ROCA SALES,0,131,2,7,1,3,10,0,5,6
RODEIO BONITO,1,19,3,1,0,0,7,3,2,1
ROLADOR,0,9,0,0,0,0,0,1,0,1
ROLANTE,0,139,8,16,1,4,30,6,26,6
RONDA ALTA,2,45,3,3,0,1,14,3,5,2
RONDINHA,0,20,1,1,0,0,5,0,1,0
ROQUE GONZALES,0,43,0,1,0,0,1,9,4,1
ROSARIO DO SUL,1,356,14,24,0,0,38,20,18,19
SAGRADA FAMILIA,0,13,0,2,0,0,4,1,0,0
SALDANHA MARINHO,0,14,0,1,0,2,5,2,1,0
SALTO DO JACUI,1,131,3,6,0,1,29,6,9,6
SALVADOR DAS MISSOES,0,13,1,0,0,0,3,0,1,0
SALVADOR DO SUL,0,40,3,4,0,2,8,0,6,1
SANANDUVA,0,95,4,6,0,0,19,11,5,3
SANTA BARBARA DO SUL,0,65,4,8,0,0,13,5,6,6
SANTA CECILIA DO SUL,0,9,0,0,0,0,0,2,0,0
SANTA CLARA DO SUL,0,21,1,0,0,1,2,1,0,2
SANTA CRUZ DO SUL,23,1314,215,204,1,22,342,55,71,95
SANTA MARGARIDA DO SUL,0,17,0,0,1,0,1,3,0,0
SANTA MARIA,39,2891,168,891,0,23,832,155,257,195
SANTA MARIA DO HERVAL,0,23,1,3,0,0,5,0,3,0
SANTA ROSA,4,560,35,32,0,0,138,28,122,69
SANTA TEREZA,0,17,0,1,0,0,1,0,1,0
SANTA TEREzA,0,0,0,0,0,0,0,0,0,0
SANTA VITORIA DO PALMAR,3,437,17,43,0,3,47,13,14,18
SANTANA DA BOA VISTA,2,42,3,4,0,0,2,5,1,1
SANTANA DO LIVRAMENTO,5,874,37,103,0,2,139,49,113,21
SANTIAGO,0,351,10,22,0,1,90,25,109,76
SANTO ANGELO,10,916,54,92,1,6,130,57,85,42
SANTO ANTONIO DA PATRULHA,3,307,33,44,0,11,71,10,35,19
SANTO ANTONIO DAS MISSOES,1,87,2,2,0,0,9,12,13,6
SANTO ANTONIO DO PALMA,0,9,0,0,0,2,2,3,1,0
SANTO ANTONIO DO PLANALTO,0,7,1,2,0,1,3,4,1,0
SANTO AUGUSTO,0,127,7,10,0,1,14,14,12,7
SANTO CRISTO,0,52,6,2,0,0,12,3,6,2
SANTO EXPEDITO DO SUL,0,3,0,0,0,0,0,4,1,0
SAO BORJA,5,556,28,64,1,2,79,17,42,64
SAO DOMINGOS DO SUL,0,11,0,0,0,1,8,1,4,0
SAO FRANCISCO DE ASSIS,2,143,5,5,0,0,19,20,9,8
SAO FRANCISCO DE PAULA,4,230,5,16,0,7,45,20,19,9
SAO GABRIEL,4,602,21,44,0,2,74,40,38,70
SAO JERONIMO,3,203,9,24,0,2,24,9,31,40
SAO JOAO DA URTIGA,0,9,1,1,0,0,3,2,0,0
SAO JOAO DO POLESINE,0,25,0,2,0,1,6,3,0,0
SAO JORGE,0,5,0,0,0,0,2,0,0,0
SAO JOSE DAS MISSOES,0,6,0,0,0,0,1,1,0,0
SAO JOSE DO HERVAL,1,14,2,1,0,0,2,2,0,0
SAO JOSE DO HORTENCIO,0,10,1,2,0,0,5,1,2,2
SAO JOSE DO INHACORA,1,5,0,0,0,0,2,2,0,0
SAO JOSE DO NORTE,8,221,6,41,0,0,14,6,16,8
SAO JOSE DO OURO,0,37,1,4,0,0,9,2,1,3
SAO JOSE DO SUL,0,12,2,3,0,1,1,0,3,0
SAO JOSE DOS AUSENTES,0,13,1,0,0,0,0,2,0,1
SAO LEOPOLDO,42,2191,414,1233,4,342,585,100,187,235
SAO LOURENCO DO SUL,0,262,4,14,0,0,60,18,72,28
SAO LUIZ GONZAGA,1,502,23,51,0,1,40,34,40,21
SAO MARCOS,1,123,10,15,0,5,51,9,22,13
SAO MARTINHO,1,39,1,0,0,0,6,5,1,0
SAO MARTINHO DA SERRA,0,43,2,1,0,0,6,1,0,1
SAO MIGUEL DAS MISSOES,0,51,1,3,0,0,9,1,2,1
SAO NICOLAU,3,57,1,1,0,0,1,6,0,1
SAO PAULO DAS MISSOES,0,9,0,0,0,1,5,0,1,0
SAO PEDRO DA SERRA,0,11,1,0,0,0,6,1,5,1
SAO PEDRO DAS MISSOES,0,9,0,0,0,0,0,4,0,0
SAO PEDRO DO BUTIA,0,12,2,0,0,0,6,0,0,0
SAO PEDRO DO SUL,0,223,4,10,0,0,17,13,7,10
SAO SEBASTIAO DO CAI,1,235,15,31,0,6,50,12,142,30
SAO SEPE,2,239,5,21,0,2,19,17,10,24
SAO VALENTIM,2,9,1,2,0,1,4,1,2,0
SAO VALENTIM DO SUL,1,17,2,1,0,0,5,1,0,0
SAO VALERIO DO SUL,0,9,0,1,0,0,2,3,0,0
SAO VENDELINO,0,11,1,3,0,0,3,1,0,0
SAO VICENTE DO SUL,1,83,4,1,0,0,9,3,4,1
SAPIRANGA,7,614,126,198,1,48,151,16,140,45
SAPUCAIA DO SUL,23,1079,193,839,0,135,281,48,132,133
SARANDI,2,178,7,17,0,2,29,19,19,13
SEBERI,1,80,7,3,0,0,15,17,9,1
SEDE NOVA,0,12,0,1,0,0,0,3,0,0
SEGREDO,1,32,5,3,0,1,6,3,0,0
SELBACH,1,24,0,5,0,1,6,2,1,0
SENADOR SALGADO FILHO,0,16,1,0,0,0,2,2,0,0
SENTINELA DO SUL,1,47,2,12,0,3,4,2,1,0
SERAFINA CORREA,1,73,6,5,0,1,24,4,17,6
SERIO,2,16,0,0,1,0,0,0,2,0
SERTAO,2,36,2,0,0,2,8,4,2,0
SERTAO SANTANA,0,40,0,4,0,1,8,1,3,0
SETE DE SETEMBRO,0,17,1,1,0,0,0,2,1,0
SEVERIANO DE ALMEIDA,0,25,0,1,0,0,2,1,0,0
SILVEIRA MARTINS,0,13,0,1,0,0,7,1,2,1
SINIMBU,0,31,3,3,0,0,5,3,1,0
SOBRADINHO,0,188,8,14,0,1,18,7,13,17
SOLEDADE,5,463,17,30,0,3,48,24,26,27
TABAI,0,31,3,4,0,2,6,1,1,1
TAPEJARA,4,168,18,19,0,1,56,4,28,10
TAPERA,0,54,6,4,0,1,11,3,12,12
TAPES,4,273,11,21,0,1,19,8,7,5
TAQUARA,8,483,57,103,1,49,121,30,36,45
TAQUARI,4,192,22,21,1,1,45,4,23,4
