Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
LAGOA BONITA DO SUL,0,23,2,0,1,0,2,1,0,0
LAGOA DOS TRES CANTOS,0,10,1,0,0,0,4,0,0,0
LAGOA VERMELHA,4,433,17,33,1,9,75,25,40,25
LAGOAO,3,29,1,1,0,0,5,4,1,0
LAJEADO,11,899,160,198,1,31,207,60,186,74
LAJEADO DO BUGRE,0,6,0,0,0,0,4,1,0,0
LAVRAS DO SUL,1,44,4,0,0,0,10,4,2,3
LIBERATO SALZANO,0,21,4,1,0,1,2,2,0,0
LINDOLFO COLLOR,0,22,1,1,0,0,5,1,6,2
LINHA NOVA,0,7,0,0,0,0,1,0,1,0
MACAMBARA,0,35,0,0,0,0,1,2,0,0
MACHADINHO,0,44,0,2,0,0,7,2,2,0
MAMPITUBA,0,17,1,1,0,1,3,1,0,0
MANOEL VIANA,0,36,2,4,0,0,7,6,5,4
MAQUINE,2,67,2,1,0,2,6,4,1,5
MARATA,0,6,1,0,0,0,2,0,0,1
MARAU,2,403,38,50,0,16,93,15,35,7
MARCELINO RAMOS,1,37,0,0,0,1,8,1,1,2
MARIANA PIMENTEL,1,48,1,2,0,1,5,3,0,3
MARIANO MORO,0,8,0,0,0,0,2,2,1,0
MARQUES DE SOUZA,2,21,2,1,0,1,7,2,1,0
MATA,0,54,4,1,0,2,7,4,0,0
MATO CASTELHANO,0,35,1,4,0,3,3,7,1,0
MATO LEITAO,0,29,1,1,0,1,2,1,2,0
MATO QUEIMADO,0,3,0,1,0,0,1,0,0,0
MAXIMILIANO DE ALMEIDA,0,25,3,1,0,0,6,1,1,0
MINAS DO LEAO,1,75,3,6,0,1,7,2,7,6
MIRAGUAI,0,50,9,0,0,1,6,2,0,0
MONTAURI,0,5,0,1,0,0,0,0,0,0
MONTE ALEGRE DOS CAMPOS,0,20,0,5,0,0,1,4,0,0
MONTE BELO DO SUL,0,9,1,3,0,0,8,0,0,0
MONTENEGRO,4,710,42,124,0,23,100,21,246,63
MORMACO,0,11,0,0,0,1,2,0,0,0
MORRINHOS DO SUL,0,9,2,1,0,0,2,0,0,0
MORRO REDONDO,0,43,2,2,0,1,4,0,0,0
MORRO REUTER,0,34,0,4,0,2,6,1,7,2
MOSTARDAS,4,172,8,8,0,0,19,6,6,6
MUCUM,0,40,1,2,0,1,9,3,6,2
MUITOS CAPOES,1,23,0,2,0,0,1,3,0,1
MULITERNO,0,19,2,2,0,0,6,0,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,1,166,14,19,0,3,36,13,10,16
NICOLAU VERGUEIRO,0,13,1,1,0,3,6,1,1,0
NONOAI,3,131,8,10,0,2,16,11,8,3
NOVA ALVORADA,0,21,0,5,0,1,8,3,0,0
NOVA ARACA,0,26,7,0,0,3,9,0,0,0
NOVA BASSANO,1,49,6,6,0,2,9,2,6,8
NOVA BOA VISTA,0,3,0,0,0,0,2,0,0,0
NOVA BRESCIA,0,15,0,0,0,0,0,0,2,1
NOVA CANDELARIA,0,7,1,1,0,1,3,2,0,0
NOVA ESPERANCA DO SUL,0,16,1,2,0,1,3,2,2,1
NOVA HARTZ,1,131,9,14,0,9,39,3,18,7
NOVA PADUA,1,11,0,1,0,1,4,1,0,0
NOVA PALMA,0,56,0,7,0,2,9,1,0,0
NOVA PETROPOLIS,2,129,7,11,0,0,43,3,28,7
NOVA PRATA,2,185,17,20,0,2,33,12,24,32
NOVA RAMADA,0,11,0,0,0,0,2,0,0,0
NOVA ROMA DO SUL,0,15,0,2,0,0,6,3,0,0
NOVA SANTA RITA,8,240,23,50,1,18,48,13,25,16
NOVO BARREIRO,0,16,3,1,0,0,2,2,0,0
