Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
NONOAI,4,123,3,6,1,3,11,11,13,7
NOVA ALVORADA,0,18,0,8,0,0,9,4,2,1
NOVA ARACA,0,21,3,3,0,2,10,6,2,0
NOVA BASSANO,0,48,9,8,0,2,10,9,7,5
NOVA BOA VISTA,0,7,2,0,0,0,3,0,0,0
NOVA BRESCIA,0,12,0,1,0,0,6,1,0,0
NOVA CANDELARIA,0,7,0,0,0,0,0,0,0,0
NOVA ESPERANCA DO SUL,0,27,0,1,0,0,5,1,1,1
NOVA HARTZ,2,113,11,30,0,1,44,4,16,11
NOVA PADUA,0,11,0,2,0,0,4,1,0,0
NOVA PALMA,1,53,0,8,0,1,13,5,1,0
NOVA PETROPOLIS,0,142,6,9,0,0,52,3,17,4
NOVA PRATA,2,175,26,12,0,2,52,11,13,16
NOVA RAMADA,0,14,0,1,0,0,3,2,0,0
NOVA ROMA DO SUL,0,9,0,3,0,0,6,5,3,0
NOVA SANTA RITA,4,244,22,41,0,11,42,8,37,14
NOVO BARREIRO,0,16,6,4,0,0,3,2,0,0
NOVO CABRAIS,0,16,2,2,0,0,3,1,0,1
NOVO HAMBURGO,53,2869,636,1744,3,506,706,128,275,253
NOVO MACHADO,0,13,1,0,0,0,2,1,0,1
NOVO TIRADENTES,0,9,0,1,0,0,0,0,0,0
NOVO XINGU,0,3,0,0,0,0,1,0,0,0
OSORIO,7,680,64,104,0,11,149,16,67,97
PAIM FILHO,1,36,3,3,0,0,1,3,1,2
PALMARES DO SUL,4,166,5,15,0,2,28,7,4,8
PALMEIRA DAS MISSOES,3,322,20,31,0,3,43,24,19,13
PALMITINHO,1,34,6,0,0,0,10,1,4,0
PANAMBI,2,266,20,23,0,3,98,9,25,20
PANTANO GRANDE,1,106,3,11,0,1,12,6,10,5
PARAI,0,38,6,4,0,1,16,2,2,1
PARAISO DO SUL,0,41,1,4,0,0,3,4,1,1
PARECI NOVO,0,25,1,0,0,2,6,1,0,1
PAROBE,4,379,66,140,0,49,96,14,41,33
PASSA SETE,1,46,2,3,0,0,4,7,0,0
PASSO DO SOBRADO,1,58,0,13,0,3,11,3,0,0
PASSO FUNDO,28,1976,349,957,3,177,518,150,162,168
PAULO BENTO,0,19,0,0,0,1,1,0,0,0
PAVERAMA,0,51,1,5,0,2,9,2,2,2
PEDRAS ALTAS,0,49,1,4,0,0,0,0,0,0
PEDRO OSORIO,2,81,3,9,1,0,16,3,9,2
PEJUCARA,0,34,2,3,0,0,3,1,0,0
PELOTAS,33,3126,337,2109,4,114,788,180,235,241
PICADA CAFE,0,14,1,2,0,0,8,1,4,0
PINHAL,0,16,1,0,0,1,3,0,0,0
PINHAL DA SERRA,1,14,0,1,0,0,2,2,4,1
PINHAL GRANDE,1,27,1,2,0,0,3,2,0,0
PINHEIRINHO DO VALE,0,15,0,0,0,0,1,2,1,1
PINHEIRO MACHADO,0,192,3,11,0,2,23,9,3,1
PINTO BANDEIRA,0,6,1,0,0,0,2,2,0,0
PIRAPO,1,16,0,0,0,0,2,5,0,0
PIRATINI,1,163,10,9,0,3,17,9,13,4
PLANALTO,0,59,2,5,0,1,4,9,4,0
POCO DAS ANTAS,0,9,0,0,0,0,0,0,0,0
PONTAO,1,39,3,5,0,0,5,3,0,0
PONTE PRETA,0,4,0,2,0,0,0,1,0,0
PORTAO,4,333,41,107,0,30,123,11,25,19
PORTO ALEGRE,338,24341,2643,19884,22,4481,6700,688,998,2282
PORTO LUCENA,0,19,0,2,0,0,3,4,0,0
PORTO MAUA,0,32,0,1,0,0,1,2,1,0
PORTO VERA CRUZ,1,14,0,0,0,0,4,1,1,0
PORTO XAVIER,0,87,3,6,0,0,6,12,9,0
POUSO NOVO,0,19,0,1,0,0,6,0,0,0
PRESIDENTE LUCENA,0,16,0,0,0,0,3,0,2,0
PROGRESSO,0,38,0,0,0,1,4,9,0,1
PROTASIO ALVES,0,8,0,1,0,0,1,1,0,0
PUTINGA,0,24,1,3,0,0,3,4,0,0
QUARAI,0,267,26,24,0,0,31,10,13,7
QUATRO IRMAOS,0,11,0,0,0,0,0,1,0,0
QUEVEDOS,0,21,2,0,0,0,3,1,0,0
QUINZE DE NOVEMBRO,0,27,1,0,0,1,2,2,1,0
REDENTORA,2,41,6,4,0,2,1,5,7,3
RELVADO,0,14,0,0,0,0,2,0,0,0
RESTINGA SECA,0,148,2,14,0,0,23,9,12,11
RIO DOS INDIOS,0,22,0,1,0,1,0,4,0,0
RIO GRANDE,24,2443,149,1559,2,37,432,115,159,211
RIO PARDO,6,419,10,46,0,6,53,19,45,13
RIOZINHO,0,30,2,0,0,1,2,2,2,0
ROCA SALES,2,83,4,7,0,1,11,6,7,1
RODEIO BONITO,1,34,2,0,0,0,5,1,4,1
ROLADOR,0,11,0,1,0,0,2,1,0,0
ROLANTE,3,113,11,26,0,7,31,8,35,4
RONDA ALTA,0,63,5,10,0,2,16,4,4,6
RONDINHA,2,18,1,2,0,1,5,0,0,1
ROQUE GONZALES,1,62,2,2,0,0,8,4,7,3
ROSARIO DO SUL,0,486,6,48,0,0,40,32,44,32
SAGRADA FAMILIA,0,10,1,0,0,0,1,1,0,0
SALDANHA MARINHO,0,22,4,4,0,2,6,0,1,0
SALTO DO JACUI,4,162,10,7,0,1,69,11,7,10
SALVADOR DAS MISSOES,0,7,0,0,0,0,2,0,0,0
SALVADOR DO SUL,0,40,7,5,0,0,8,2,10,1
SANANDUVA,0,128,7,9,0,1,38,11,8,1
SANTA BARBARA DO SUL,0,72,1,13,0,2,14,10,4,3
SANTA CECILIA DO SUL,0,15,1,0,0,0,3,0,0,0
SANTA CLARA DO SUL,0,30,3,2,0,0,6,1,1,1
SANTA CRUZ DO SUL,14,1384,329,307,1,20,330,59,75,114
SANTA MARGARIDA DO SUL,0,21,0,0,0,0,2,4,0,0
SANTA MARIA,23,3259,216,1058,3,25,853,166,360,267
SANTA MARIA DO HERVAL,0,17,1,1,0,0,4,1,0,0
SANTA ROSA,2,632,54,50,0,5,145,34,126,83
SANTA TEREZA,0,6,1,0,0,0,0,0,0,0
SANTA TEREzA,0,1,0,0,0,0,0,0,1,0
SANTA VITORIA DO PALMAR,6,543,14,58,0,0,38,16,15,25
SANTANA DA BOA VISTA,0,60,4,3,0,0,10,7,1,2
SANTANA DO LIVRAMENTO,2,922,78,86,2,3,176,38,111,34
SANTIAGO,2,557,8,37,0,0,128,34,141,84
SANTO ANGELO,7,1063,49,141,0,2,133,54,122,49
SANTO ANTONIO DA PATRULHA,2,347,37,64,1,11,75,14,42,26
SANTO ANTONIO DAS MISSOES,1,107,0,5,0,0,6,9,14,1
SANTO ANTONIO DO PALMA,0,17,1,3,0,1,0,0,0,0
SANTO ANTONIO DO PLANALTO,0,14,2,0,0,2,4,1,0,2
SANTO AUGUSTO,2,171,8,12,1,0,18,8,11,5
SANTO CRISTO,0,46,2,2,0,0,13,7,3,0
SANTO EXPEDITO DO SUL,0,6,0,1,0,0,1,1,0,0
SAO BORJA,2,692,30,105,0,3,101,50,63,133
SAO DOMINGOS DO SUL,0,10,0,1,0,0,6,0,0,0
SAO FRANCISCO DE ASSIS,2,170,1,4,0,0,24,12,9,7
SAO FRANCISCO DE PAULA,3,297,12,29,0,5,42,14,12,10
SAO GABRIEL,6,672,21,67,0,2,87,44,61,77
SAO JERONIMO,4,240,10,31,1,1,32,15,28,36
SAO JOAO DA URTIGA,0,16,3,2,0,0,2,1,0,0
