Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
JAGUARAO,2,345,23,21,0,0,35,4,23,26
JAGUARI,0,53,1,0,0,0,11,3,5,2
JAQUIRANA,1,33,4,6,0,0,7,4,2,0
JARI,0,25,0,0,0,0,2,1,0,0
JOIA,1,46,0,1,0,0,8,2,1,1
JULIO DE CASTILHOS,0,215,8,16,1,0,31,14,13,10
LAGOA BONITA DO SUL,0,8,1,0,0,0,0,1,0,0
LAGOA DOS TRES CANTOS,0,12,0,2,0,0,2,0,0,0
LAGOA VERMELHA,8,466,20,33,0,1,72,31,37,33
LAGOAO,0,23,1,1,0,0,6,4,2,1
LAJEADO,13,972,177,215,1,48,256,57,84,60
LAJEADO DO BUGRE,0,6,0,0,0,0,1,3,1,0
LAVRAS DO SUL,0,53,1,1,0,0,9,3,2,2
LIBERATO SALZANO,0,26,2,3,0,0,2,4,0,0
LINDOLFO COLLOR,1,16,3,0,0,0,2,3,9,2
LINHA NOVA,0,3,0,1,0,0,1,0,3,0
MACAMBARA,0,33,0,0,0,0,1,2,0,2
MACHADINHO,1,65,2,1,0,0,3,5,0,0
MAMPITUBA,1,13,0,0,0,0,1,0,0,0
MANOEL VIANA,0,46,1,1,0,0,12,7,6,2
MAQUINE,2,81,2,12,0,1,14,2,6,3
MARATA,0,11,0,0,0,0,3,0,0,0
MARAU,3,371,49,39,0,17,125,27,30,6
MARCELINO RAMOS,0,44,2,3,0,0,2,5,0,0
MARIANA PIMENTEL,0,44,1,1,0,0,2,2,0,1
MARIANO MORO,0,12,0,0,0,0,0,0,0,0
MARQUES DE SOUZA,0,30,3,4,0,1,5,1,1,0
MATA,0,49,0,0,0,0,17,1,3,1
MATO CASTELHANO,0,32,2,3,0,2,5,3,1,0
MATO LEITAO,0,18,2,3,0,4,3,0,1,0
MATO QUEIMADO,0,0,0,0,0,0,2,0,0,0
MAXIMILIANO DE ALMEIDA,0,29,3,1,0,0,5,2,0,0
MINAS DO LEAO,0,85,1,3,0,1,9,2,7,4
MIRAGUAI,1,38,7,3,0,0,3,1,0,0
MONTAURI,0,2,0,0,0,1,0,1,1,0
MONTE ALEGRE DOS CAMPOS,0,26,1,1,0,0,0,1,0,0
MONTE BELO DO SUL,0,15,0,0,0,1,4,3,0,0
MONTENEGRO,4,690,28,95,1,16,118,14,199,66
MORMACO,0,16,1,7,0,0,3,1,1,0
MORRINHOS DO SUL,0,7,3,2,0,0,6,0,0,0
MORRO REDONDO,0,41,0,7,0,0,2,2,0,0
MORRO REUTER,0,33,1,2,0,1,9,0,4,1
MOSTARDAS,2,172,3,9,0,2,25,7,14,8
MUCUM,0,32,4,2,0,2,5,2,12,1
MUITOS CAPOES,0,44,1,2,0,1,1,5,1,1
MULITERNO,0,8,1,3,0,1,2,2,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,0,143,16,18,0,3,43,11,9,19
NICOLAU VERGUEIRO,0,14,1,2,1,0,1,2,0,0
NONOAI,4,105,11,13,0,2,12,11,15,4
NOVA ALVORADA,2,26,3,12,0,1,7,3,0,0
NOVA ARACA,0,28,4,3,0,1,5,2,0,0
NOVA BASSANO,1,52,5,9,0,3,21,3,2,4
NOVA BOA VISTA,0,8,0,0,0,0,1,0,0,0
NOVA BRESCIA,0,12,0,0,0,0,4,1,2,2
NOVA CANDELARIA,0,8,1,0,0,0,3,0,0,0
NOVA ESPERANCA DO SUL,0,25,0,2,0,0,3,3,2,0
NOVA HARTZ,0,112,4,17,1,3,43,3,13,11
NOVA PADUA,0,15,2,1,0,0,3,1,0,0
NOVA PALMA,2,47,3,2,0,0,9,5,1,1
NOVA PETROPOLIS,0,144,7,8,0,1,48,2,30,13
NOVA PRATA,1,146,23,20,0,4,38,13,23,21
NOVA RAMADA,0,15,0,1,0,0,1,2,0,0
NOVA ROMA DO SUL,0,15,0,1,0,0,2,0,2,0
NOVA SANTA RITA,6,235,31,40,0,17,55,13,15,6
NOVO BARREIRO,1,16,3,1,0,0,1,4,1,2
NOVO CABRAIS,0,17,1,0,0,0,4,5,1,0
NOVO HAMBURGO,45,2639,534,1447,2,542,647,119,247,135
NOVO MACHADO,1,32,0,0,0,0,1,0,0,1
NOVO TIRADENTES,0,8,0,1,0,0,2,1,0,0
NOVO XINGU,0,7,1,0,0,0,0,1,0,0
OSORIO,10,717,38,83,0,9,153,20,91,70
PAIM FILHO,0,38,1,0,0,0,0,1,2,0
PALMARES DO SUL,3,247,15,30,1,3,41,8,17,15
PALMEIRA DAS MISSOES,8,312,18,24,2,1,53,28,13,15
PALMITINHO,4,33,4,3,0,0,3,2,4,0
PANAMBI,1,297,16,15,1,2,89,17,18,16
PANTANO GRANDE,0,87,2,9,0,1,11,5,9,5
PARAI,0,45,3,7,0,2,7,1,5,2
PARAISO DO SUL,0,24,3,3,0,0,3,1,0,2
PARECI NOVO,0,15,1,1,0,0,4,1,0,2
PAROBE,8,325,76,125,0,34,93,29,24,16
PASSA SETE,1,25,3,0,0,0,3,3,0,0
PASSO DO SOBRADO,0,46,2,8,0,2,6,1,0,0
PASSO FUNDO,37,1860,327,661,2,114,538,176,173,139
PAULO BENTO,0,14,4,0,0,0,0,1,1,0
PAVERAMA,1,42,1,13,0,5,7,0,0,2
PEDRAS ALTAS,0,35,0,2,0,0,0,1,0,0
PEDRO OSORIO,2,91,2,7,0,0,12,5,8,1
PEJUCARA,0,41,0,1,0,0,6,1,0,1
PELOTAS,59,3187,439,2007,4,148,807,152,150,232
PICADA CAFE,0,36,0,0,0,1,8,1,3,0
PINHAL,0,29,1,4,0,0,1,0,0,2
PINHAL DA SERRA,1,20,1,0,0,0,0,1,0,1
PINHAL GRANDE,0,26,2,0,0,0,5,0,0,2
PINHEIRINHO DO VALE,0,14,0,1,0,0,3,5,1,1
PINHEIRO MACHADO,1,124,8,10,0,0,21,6,5,11
PINTO BANDEIRA,0,6,0,0,0,0,0,0,1,0
PIRAPO,0,33,1,5,0,0,2,3,0,0
PIRATINI,0,182,11,11,0,1,18,9,10,3
PLANALTO,7,75,2,3,0,1,8,4,4,2
POCO DAS ANTAS,1,7,0,1,0,0,4,1,0,0
PONTAO,0,31,3,0,0,3,5,9,0,0
