Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SANTA MARGARIDA DO SUL,0,27,0,0,0,0,2,1,0,0
SANTA MARIA,30,3230,169,1062,5,35,867,151,349,224
SANTA MARIA DO HERVAL,1,27,0,1,0,0,8,0,2,0
SANTA ROSA,8,608,34,51,0,0,137,29,179,60
SANTA TEREZA,0,15,0,0,0,0,2,0,2,0
SANTA TEREzA,0,0,0,0,0,0,0,0,0,0
SANTA VITORIA DO PALMAR,4,592,16,58,0,0,48,14,15,20
SANTANA DA BOA VISTA,0,75,1,7,0,0,7,6,3,0
SANTANA DO LIVRAMENTO,5,946,63,96,2,2,145,51,117,40
SANTIAGO,4,508,13,38,1,0,126,24,114,83
SANTO ANGELO,6,973,59,149,0,4,166,58,118,66
SANTO ANTONIO DA PATRULHA,5,352,31,49,0,10,62,24,38,24
SANTO ANTONIO DAS MISSOES,1,119,1,2,0,1,13,10,15,4
SANTO ANTONIO DO PALMA,0,20,2,1,0,0,2,0,1,0
SANTO ANTONIO DO PLANALTO,0,11,2,1,0,0,6,2,0,0
SANTO AUGUSTO,3,149,4,7,0,0,14,3,8,13
SANTO CRISTO,1,56,1,0,0,0,10,0,8,1
SANTO EXPEDITO DO SUL,0,9,0,0,0,0,2,2,0,0
SAO BORJA,9,657,37,123,0,2,108,35,48,109
SAO DOMINGOS DO SUL,0,22,0,1,0,1,3,0,1,2
SAO FRANCISCO DE ASSIS,0,175,3,6,0,0,23,13,16,7
SAO FRANCISCO DE PAULA,1,314,12,34,0,8,41,16,6,11
SAO GABRIEL,2,732,16,62,0,0,65,40,58,100
SAO JERONIMO,5,281,7,41,0,1,20,9,31,28
SAO JOAO DA URTIGA,0,9,0,0,0,0,1,8,0,0
SAO JOAO DO POLESINE,0,17,1,0,1,0,11,2,0,1
SAO JORGE,0,7,0,1,0,0,2,2,0,0
SAO JOSE DAS MISSOES,0,9,0,1,0,0,2,1,0,0
SAO JOSE DO HERVAL,0,21,0,3,0,0,1,2,0,0
SAO JOSE DO HORTENCIO,0,12,0,2,0,0,5,0,9,0
SAO JOSE DO INHACORA,0,4,1,0,0,0,1,2,0,0
SAO JOSE DO NORTE,4,258,6,52,0,1,10,10,26,17
SAO JOSE DO OURO,0,48,0,1,0,0,9,3,0,0
SAO JOSE DO SUL,0,6,0,0,0,1,3,0,0,0
SAO JOSE DOS AUSENTES,1,26,0,0,0,0,2,2,2,1
SAO LEOPOLDO,34,2650,438,1566,0,422,600,110,265,317
SAO LOURENCO DO SUL,2,285,6,21,0,2,42,10,56,22
SAO LUIZ GONZAGA,5,688,18,69,0,1,43,29,57,39
SAO MARCOS,0,186,8,22,0,4,39,21,20,12
SAO MARTINHO,0,33,2,5,0,1,3,1,3,2
SAO MARTINHO DA SERRA,0,67,0,3,0,0,3,0,0,0
SAO MIGUEL DAS MISSOES,0,63,1,3,0,0,3,5,0,0
SAO NICOLAU,0,95,2,1,0,1,4,17,0,1
SAO PAULO DAS MISSOES,0,17,1,0,0,1,2,3,1,0
SAO PEDRO DA SERRA,0,16,0,0,0,1,4,1,4,2
SAO PEDRO DAS MISSOES,0,14,0,0,0,0,2,2,2,0
SAO PEDRO DO BUTIA,0,15,0,3,0,0,4,0,0,0
SAO PEDRO DO SUL,1,242,8,16,0,0,22,10,5,8
SAO SEBASTIAO DO CAI,0,302,15,35,1,17,56,2,129,37
SAO SEPE,3,324,5,27,0,0,28,27,21,25
SAO VALENTIM,0,18,0,0,0,0,1,0,1,0
SAO VALENTIM DO SUL,0,14,0,1,0,1,0,2,0,0
SAO VALERIO DO SUL,0,8,0,0,0,0,1,1,0,0
SAO VENDELINO,0,12,1,2,0,1,5,1,3,0
SAO VICENTE DO SUL,0,107,0,5,0,0,7,6,8,3
SAPIRANGA,9,673,151,250,1,44,134,22,109,50
SAPUCAIA DO SUL,23,1370,236,1092,0,142,278,51,205,183
SARANDI,0,213,7,30,0,3,34,18,19,18
SEBERI,4,115,9,8,0,0,10,6,10,5
SEDE NOVA,0,4,1,1,0,1,1,2,0,0
SEGREDO,0,49,8,1,0,0,7,6,0,1
SELBACH,0,23,3,5,0,1,6,1,4,1
SENADOR SALGADO FILHO,0,14,0,1,0,0,2,1,1,0
SENTINELA DO SUL,2,81,3,10,0,4,5,3,0,2
SERAFINA CORREA,0,88,5,6,0,0,27,7,20,4
SERIO,0,14,0,1,0,0,3,0,1,1
SERTAO,0,41,2,1,0,0,11,4,2,1
SERTAO SANTANA,0,44,3,9,0,2,20,6,3,2
SETE DE SETEMBRO,0,18,0,1,0,0,3,0,0,0
SEVERIANO DE ALMEIDA,0,18,2,0,0,0,3,2,2,0
SILVEIRA MARTINS,0,18,0,0,0,0,5,1,0,0
SINIMBU,0,33,5,3,0,0,5,2,1,0
SOBRADINHO,1,296,10,25,0,2,38,4,13,11
SOLEDADE,0,495,12,38,2,3,58,27,49,35
TABAI,0,42,1,13,0,2,5,1,1,1
TAPEJARA,1,217,27,17,1,6,59,7,25,7
TAPERA,0,77,8,7,0,2,13,1,7,4
TAPES,4,285,11,39,0,6,21,12,8,9
TAQUARA,11,575,70,128,0,31,107,35,53,42
TAQUARI,0,221,15,15,1,5,59,9,15,9
