Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
GARIBALDI,2,278,30,49,0,23,54,6,19,10
GARRUCHOS,0,57,1,0,0,0,2,7,0,0
GAURAMA,0,53,1,1,0,0,5,0,2,0
GENERAL CAMARA,1,113,2,6,0,1,10,2,4,1
GENTIL,0,10,0,0,0,0,3,2,0,0
GETULIO VARGAS,2,103,8,19,0,5,36,8,24,25
GIRUA,3,144,7,9,0,0,18,6,5,7
GLORINHA,1,113,1,34,0,4,14,7,13,7
GRAMADO,1,396,21,28,0,2,129,17,47,24
GRAMADO DOS LOUREIROS,1,9,0,0,0,0,2,0,0,0
GRAMADO XAVIER,0,19,2,3,0,0,4,0,1,0
GRAVATAI,75,2401,418,1870,4,440,698,134,294,220
GUABIJU,0,10,3,1,0,1,2,0,0,0
GUAIBA,31,775,63,472,1,33,149,62,188,83
GUAPORE,4,196,10,19,0,4,69,10,25,21
GUARANI DAS MISSOES,0,125,0,7,0,0,8,3,0,1
HARMONIA,0,28,2,3,0,0,4,0,1,0
HERVAL,1,79,0,2,0,0,10,4,7,0
HERVEIRAS,0,18,2,2,0,1,0,3,1,1
HORIZONTINA,0,154,10,4,0,0,22,6,47,6
HULHA NEGRA,0,33,1,2,0,1,3,4,1,3
HUMAITA,1,18,4,0,0,0,3,2,1,0
IBARAMA,0,32,5,3,0,0,0,2,0,1
IBIACA,0,31,3,0,0,0,10,2,0,0
IBIRAIARAS,0,45,3,0,0,0,14,0,1,0
IBIRAPUITA,0,22,1,1,0,0,6,8,2,2
IBIRUBA,1,166,8,10,0,2,50,4,12,12
IGREJINHA,2,335,23,62,0,12,80,18,42,23
IJUI,12,898,57,107,0,8,175,42,125,63
ILOPOLIS,1,25,0,2,0,1,3,1,2,0
IMBE,4,679,42,83,0,14,66,16,19,15
IMIGRANTE,0,10,1,1,0,0,6,0,0,0
INDEPENDENCIA,0,71,3,2,0,0,5,3,0,1
INHACORA,0,9,1,0,0,0,0,1,0,1
IPE,1,62,1,8,0,0,4,1,5,2
