Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ESPUMOSO,0,97,15,10,0,2,27,5,8,10
ESTACAO,1,35,3,8,0,0,9,0,0,1
ESTANCIA VELHA,1,317,70,117,0,55,74,9,51,17
ESTEIO,16,1251,163,730,0,97,212,32,157,81
ESTRELA,3,321,21,81,0,2,57,9,86,27
ESTRELA VELHA,0,8,0,0,0,0,2,1,0,0
EUGENIO DE CASTRO,0,27,0,2,0,0,4,1,0,0
FAGUNDES VARELA,0,7,0,2,0,0,1,2,0,0
FARROUPILHA,11,768,119,205,0,62,166,34,132,43
FAXINAL DO SOTURNO,1,48,1,5,0,0,7,6,2,2
FAXINALZINHO,0,13,1,0,0,0,2,2,0,0
FAZENDA VILA NOVA,0,70,6,8,0,2,1,3,10,0
FELIZ,1,70,7,3,0,2,18,4,27,4
FLORES DA CUNHA,3,241,22,46,0,18,58,13,36,8
FLORIANO PEIXOTO,0,5,0,1,0,0,2,0,0,0
FONTOURA XAVIER,1,93,8,5,0,1,18,8,2,4
FORMIGUEIRO,0,79,0,1,0,0,29,6,0,4
FORQUETINHA,0,14,1,0,0,0,2,0,2,0
FORTALEZA DOS VALOS,0,35,1,3,0,1,4,2,1,0
FREDERICO WESTPHALEN,6,269,12,21,0,0,74,14,104,20
GARIBALDI,5,286,36,43,0,29,45,10,13,9
GARRUCHOS,0,52,0,4,0,0,1,3,1,0
GAURAMA,0,44,1,3,0,0,8,2,1,1
GENERAL CAMARA,1,81,3,8,0,0,12,7,1,3
GENTIL,0,26,0,4,0,0,4,2,0,0
GETULIO VARGAS,1,94,7,21,0,6,29,12,19,21
GIRUA,1,131,14,2,0,0,23,5,15,9
GLORINHA,0,74,4,10,0,2,8,2,2,1
GRAMADO,3,395,13,25,0,0,125,13,33,26
GRAMADO DOS LOUREIROS,2,6,1,0,0,1,2,0,0,0
