Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
MORRO REUTER,0,32,6,2,0,1,6,3,2,0
MOSTARDAS,5,170,6,8,0,0,23,12,13,6
MUCUM,0,33,2,3,0,0,2,1,3,5
MUITOS CAPOES,0,32,0,4,0,0,2,1,0,0
MULITERNO,0,15,0,0,0,0,1,4,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,0,143,14,30,0,3,41,11,7,22
NICOLAU VERGUEIRO,0,15,0,1,0,0,2,1,1,0
NONOAI,2,103,11,8,0,1,15,8,10,6
NOVA ALVORADA,0,15,3,8,0,0,11,5,0,0
NOVA ARACA,1,24,2,3,0,0,4,2,2,1
NOVA BASSANO,0,53,4,8,0,2,11,3,6,3
NOVA BOA VISTA,0,6,0,2,0,0,3,0,0,0
NOVA BRESCIA,1,20,1,0,0,0,5,2,2,0
NOVA CANDELARIA,0,4,0,0,0,0,3,1,0,0
NOVA ESPERANCA DO SUL,0,30,0,2,0,0,4,1,5,1
NOVA HARTZ,1,117,15,23,0,9,54,4,29,13
NOVA PADUA,0,7,1,2,0,1,7,0,0,0
NOVA PALMA,1,42,1,2,0,1,12,1,0,0
NOVA PETROPOLIS,1,106,2,8,1,1,48,4,29,13
NOVA PRATA,2,141,16,14,1,5,51,14,31,31
NOVA RAMADA,0,19,1,1,0,0,1,0,0,0
NOVA ROMA DO SUL,0,14,0,0,0,0,4,1,2,0
NOVA SANTA RITA,2,211,26,58,0,14,83,7,35,14
NOVO BARREIRO,0,23,4,2,0,0,2,3,0,1
NOVO CABRAIS,0,28,2,3,0,0,3,2,2,0
NOVO HAMBURGO,41,2580,769,1658,1,636,657,137,288,197
NOVO MACHADO,0,14,1,0,0,0,7,0,1,0
NOVO TIRADENTES,1,8,0,0,0,0,0,0,0,0
NOVO XINGU,0,1,0,0,0,0,1,1,0,0
OSORIO,11,695,49,94,0,10,115,22,92,102
PAIM FILHO,1,13,0,0,0,0,4,8,1,0
PALMARES DO SUL,4,184,3,14,0,3,8,6,8,5
PALMEIRA DAS MISSOES,4,325,19,33,0,1,74,25,28,30
PALMITINHO,0,36,5,1,0,0,4,5,2,1
PANAMBI,3,277,17,24,0,4,100,11,18,15
PANTANO GRANDE,1,95,1,11,0,0,11,7,12,7
PARAI,0,46,2,8,0,0,11,0,3,1
PARAISO DO SUL,0,44,1,1,0,0,4,2,0,1
PARECI NOVO,0,19,1,5,0,2,7,0,1,0
PAROBE,7,355,72,123,0,29,85,24,25,34
PASSA SETE,2,66,2,4,0,0,1,2,0,0
PASSO DO SOBRADO,0,64,2,5,0,0,2,6,0,0
PASSO FUNDO,37,1678,392,776,7,131,557,145,195,168
PAULO BENTO,0,19,0,3,0,0,1,4,0,0
PAVERAMA,0,52,2,8,0,1,6,4,5,4
PEDRAS ALTAS,0,47,0,0,0,0,1,1,0,0
PEDRO OSORIO,0,118,7,22,0,0,11,3,7,5
PEJUCARA,0,25,0,2,0,0,6,0,1,0
PELOTAS,52,3277,458,2221,3,154,725,147,163,212
PICADA CAFE,0,24,1,3,0,0,9,0,3,2
PINHAL,0,29,1,3,0,0,5,1,0,1
PINHAL DA SERRA,0,21,1,0,0,0,2,5,2,0
PINHAL GRANDE,0,30,0,2,0,0,5,3,0,0
PINHEIRINHO DO VALE,0,12,0,1,0,0,1,5,3,0
PINHEIRO MACHADO,1,172,6,9,0,0,15,3,9,11
PINTO BANDEIRA,0,6,1,0,0,0,2,1,0,0
PIRAPO,0,23,0,0,0,0,0,1,0,0
PIRATINI,5,212,9,14,1,1,23,12,4,8
PLANALTO,1,76,1,2,0,0,6,5,12,1
POCO DAS ANTAS,0,5,0,3,0,0,4,0,0,0
PONTAO,0,40,1,0,0,3,4,3,2,0
PONTE PRETA,0,6,0,0,0,1,1,0,0,0
PORTAO,8,327,61,117,0,35,95,14,29,13
PORTO ALEGRE,350,23940,2821,20132,15,4977,6804,640,1032,2066
PORTO LUCENA,0,20,4,0,0,0,1,7,1,1
PORTO MAUA,0,29,0,1,0,0,4,4,0,2
PORTO VERA CRUZ,0,17,1,1,0,0,0,2,0,0
PORTO XAVIER,0,68,0,0,0,0,3,15,18,3
POUSO NOVO,0,16,1,2,0,0,0,0,0,0
PRESIDENTE LUCENA,0,13,0,1,0,1,7,3,0,0
PROGRESSO,0,37,0,1,0,0,8,6,3,3
PROTASIO ALVES,0,9,0,2,0,0,2,0,0,0
PUTINGA,0,22,0,0,0,0,1,1,2,0
QUARAI,2,255,17,20,0,0,28,11,11,6
QUATRO IRMAOS,0,5,0,0,0,0,2,1,0,0
QUEVEDOS,1,20,0,0,0,0,1,3,0,0
QUINZE DE NOVEMBRO,0,27,3,1,0,0,3,1,0,0
REDENTORA,1,50,3,1,1,1,9,12,1,1
RELVADO,1,16,0,0,0,0,1,1,0,0
RESTINGA SECA,1,148,16,7,0,0,20,11,4,3
RIO DOS INDIOS,0,18,0,0,0,0,0,4,0,0
RIO GRANDE,30,2306,202,1506,2,55,404,105,141,233
RIO PARDO,6,393,16,38,0,2,54,17,60,30
RIOZINHO,1,31,2,3,0,0,4,2,4,0
ROCA SALES,1,84,2,16,1,1,38,5,7,6
RODEIO BONITO,0,30,2,1,0,1,6,1,14,1
ROLADOR,0,15,0,0,0,0,2,3,0,0
