Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO JOSE DO SUL,0,13,0,1,0,1,2,2,0,0
SAO JOSE DOS AUSENTES,0,33,0,1,0,0,1,3,1,2
SAO LEOPOLDO,46,2669,545,1613,1,430,597,110,307,296
SAO LOURENCO DO SUL,0,309,8,30,0,0,61,11,70,24
SAO LUIZ GONZAGA,4,650,26,60,0,2,54,39,39,34
SAO MARCOS,0,182,17,24,0,4,56,19,32,9
SAO MARTINHO,1,30,0,4,0,2,6,4,4,0
SAO MARTINHO DA SERRA,0,40,0,1,0,0,1,2,1,0
SAO MIGUEL DAS MISSOES,1,42,0,4,0,0,5,7,1,2
SAO NICOLAU,1,66,0,0,0,0,1,13,0,0
SAO PAULO DAS MISSOES,0,28,2,2,0,0,3,2,1,0
SAO PEDRO DA SERRA,0,12,0,0,0,0,5,2,5,0
SAO PEDRO DAS MISSOES,0,11,0,1,0,0,0,3,1,0
SAO PEDRO DO BUTIA,0,14,0,0,0,0,4,1,0,0
SAO PEDRO DO SUL,1,249,3,16,0,1,20,11,8,6
SAO SEBASTIAO DO CAI,0,274,19,49,0,10,68,7,115,31
SAO SEPE,1,337,6,23,0,1,26,17,17,27
SAO VALENTIM,0,9,2,0,0,0,4,2,2,0
SAO VALENTIM DO SUL,0,24,3,0,0,0,0,0,1,0
SAO VALERIO DO SUL,0,10,2,1,0,0,1,6,1,0
SAO VENDELINO,0,14,5,5,0,2,4,0,4,0
SAO VICENTE DO SUL,1,98,2,3,0,0,7,6,2,3
SAPIRANGA,10,709,141,213,0,47,167,31,113,51
SAPUCAIA DO SUL,29,1388,250,1114,0,200,266,69,145,184
SARANDI,2,212,5,27,0,0,33,12,17,23
SEBERI,2,105,6,7,0,0,14,15,4,10
SEDE NOVA,0,10,1,2,0,0,4,1,1,0
SEGREDO,0,47,3,2,0,1,4,9,0,0
SELBACH,1,30,4,1,0,2,6,5,3,2
SENADOR SALGADO FILHO,0,9,0,0,0,0,1,1,1,0
SENTINELA DO SUL,0,77,9,7,1,0,5,4,1,1
SERAFINA CORREA,0,114,5,5,0,0,20,2,20,6
SERIO,1,14,0,0,0,0,1,1,0,0
SERTAO,0,40,3,2,1,2,11,2,2,0
SERTAO SANTANA,0,47,2,7,0,2,14,3,4,2
SETE DE SETEMBRO,0,11,0,1,0,0,0,1,0,0
SEVERIANO DE ALMEIDA,0,46,0,2,0,0,7,3,3,0
SILVEIRA MARTINS,0,25,1,1,0,0,5,1,1,1
SINIMBU,2,50,2,1,0,0,7,3,0,0
SOBRADINHO,1,211,8,17,0,0,25,12,14,13
SOLEDADE,7,479,20,53,0,1,70,43,45,25
TABAI,0,38,2,12,0,4,3,2,3,1
TAPEJARA,0,181,13,13,1,9,56,6,21,12
TAPERA,0,69,6,8,0,0,10,6,15,18
TAPES,1,293,12,24,0,4,18,10,9,5
TAQUARA,1,557,63,94,1,42,104,37,77,55
TAQUARI,2,242,8,21,0,3,52,14,18,11
